"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"11",2.34128167251947,2.75584215601385,2.24391110496376,1.78587497670743,2.60899436866844,2.33123273480663,1.83803468592027,1.92769179233285,1.75020175509983,2.07656751913468,2.23287323638276,2.47090165693681,2.54109422215876,2.37737486792392,3.09582665848405,3.72050392234718,2.36314766362028,3.26651798821742,3.10215735057043,2.02820242267765,4.21690833050272,3.29423745830407,2.85731996048329,2.12424628679142,4.47354705424248,3.72818178630007,4.34948867935318,4.77076312295752,3.70931251162575,2.99867939851722
"12",2.68768342840608,2.70184847839877,2.26624675112476,1.90248473895872,2.83176540099468,2.23725954987282,2.37484807076214,2.21253687390209,2.07080400169794,2.01766116802509,1.95070020099019,2.17006787109375,2.45305425470526,2.51611022949219,3.4667466757954,4.21641043330846,2.11588398701436,3.12668833338228,2.75880134396437,0.618830479613138,4.14481689453125,3.3581584348517,2.8082349666212,2.36425733316631,3.92586271533407,3.07717006413017,3.35462917751736,4.730202841592,2.50292855721933,2.24346324375698
"13",2.34128167251947,2.75584215601385,2.24391110496376,1.78587497670743,2.60899436866844,2.57197747158645,2.38766137099848,2.18521195099133,1.8750820691842,2.02128978767017,2.27212497407356,1.86428745187444,3.36846709669682,2.92046085480721,3.74573178834553,5.10556376349066,3.27185462131973,3.37791882848447,3.30664117486627,1.04671112829898,6.30020401828973,4.39221066844707,3.26955078125,2.69658102047671,3.84872253417969,3.8189484278361,5.05274782898606,5.89767160723286,3.61018676757813,3.03688726362014
"14",2.34128167251947,2.75584215601385,2.24391110496376,1.78587497670743,2.60899436866844,2.33123273480663,1.83803468592027,1.92769179233285,1.75020175509983,2.07656751913468,2.18104595027558,2.33836867492323,2.46707461578677,2.54730905688372,4.10112047195434,5.02125140420752,2.49402131333863,3.88617132615673,3.43437668372845,2.72524289731626,4.94691521504204,3.35181318010603,2.60804025750411,2.54793539164979,4.51948303735557,3.88174737668505,3.91399826928583,4.40923703950027,3.37320514547414,3.78092016962361
"15",2.34128167251947,2.75584215601385,2.24391110496376,1.78587497670743,2.60899436866844,2.57197747158645,2.38766137099848,2.18521195099133,1.8750820691842,2.16327978859485,2.33198732943148,2.15492592519418,2.50954586851831,2.69530109782795,3.53396534356545,4.17071725137579,2.33929778717376,3.40557484567901,3.15527180054179,0,4.40530988905165,4.98043378194173,3.55525185080136,2.73150731340239,5.22925897854478,4.50957010560117,3.76801045735677,4.68812216481855,3.51574452718099,3.29632331000434
"16",2.34128167251947,2.75584215601385,2.24391110496376,1.78587497670743,2.60899436866844,2.57197747158645,2.38766137099848,2.18521195099133,1.8750820691842,2.16327978859485,2.33198732943148,2.15492592519418,2.5095458685183,2.69530109782795,3.53396534356545,4.17071725137579,2.33929778717376,3.40557484567901,3.15527180054179,-4.67924224231057e-16,4.40530988905165,4.98043378194173,3.55525185080136,2.73150731340239,5.22925897854478,4.50957010560117,3.76801045735677,5.24687834708921,3.85677944085537,3.50204561880507
"17",2.34128167251947,2.75584215601385,2.38193262150857,1.6078820076163,2.60696854129914,2.08748264000064,1.92808470854888,2.11231589015526,1.98429083368581,2.23671289817574,2.40385001046317,2.44346609055621,2.0028785147318,2.084683310019,2.87555104614752,3.57227647569444,2.02419246844391,3.01858723958333,2.74165197396378,0.684828733786559,6.1690681094215,4.10921771709736,2.72991625467936,2.35823460629112,4.18379986872439,3.70349498930432,3.96776283858065,4.76385401928519,3.6334263593301,3.18644326420154
"18",2.34128167251947,2.75584215601385,2.24391110496376,1.78587497670743,2.60899436866844,2.57197747158645,2.38766137099848,2.18521195099133,1.8750820691842,2.02128978767017,2.27212497407356,1.86428745187444,3.36846709669682,3.56929265802557,3.71470293317522,5.72035033540576,2.56065297349591,3.35111425954399,3.19131436190762,0.114869424852274,5.66969193752457,4.70130726207386,3.45231867609797,2.98512031292093,4.71449946013974,3.81214256058196,4.04795328776042,4.87952429506959,3.47880793800039,3.58312697637649
"19",2.34128167251947,2.75584215601385,2.24391110496376,1.78587497670743,2.60899436866844,2.33123273480663,1.83803468592027,1.92769179233285,1.75020175509983,2.07656751913468,2.23287323638276,2.47090165693681,2.54109422215876,2.37737486792393,3.09582665848405,3.72050392234718,2.36314766362028,3.26651798821742,3.10215735057044,2.02820242267765,4.21690833050272,3.29423745830407,2.85731996048328,2.01347946893601,4.22213745117188,3.88784790039062,3.95493795883715,4.43492014815168,3.44086817691201,3.67751504010695
"20",2.68768342840608,2.70184847839877,2.26624675112476,1.90248473895872,2.70609099289467,2.22690641571203,2.31508334847384,2.32123489073481,2.28992645500242,2.01737882173978,1.85614013671875,1.81474485491762,2.12209291338422,2.19468839051294,3.80665361120346,5.23250309309636,2.5300493573809,3.25860535864737,3.25359950418258,0.65815398272346,6.09529983663113,3.84519802133944,2.89972268659516,2.54210578070747,4.4082825203252,3.71697528545673,4.46854654947917,4.78652603014381,3.30741373697917,3.30661054029532
